centers,RockyMountainUrgentCare-Boulder,NextCareUrgentCare-Longmont,AdvancedUrgentCare-Lafayette,AFCUrgentCare-Louisville,AdvancedUrgentCare-Westminister,ZipClinicUrgentCare-Westminister,Clinica-Lafayette,LittleClinic-Broomfield,NextCareUrgentCare-Broomfield,RockyMountainUrgentCare-Westminister,LittleClinic-Erie,AdvancedUrgentCare-Broomfield,LittleClinic2-Broomfield,NextCareUrgentCare-Thornton,CommunityTest-Thornton,LittleClinic-Thornton,AFCUrgentCare-Thornton,CommunityTest2-Thornton,ThorntonFire-Thornton,AdvancedUrgentCare-Brighton
RockyMountainUrgentCare-Boulder,0,18,9,7,13,17,9,13,13,15,12,15,20,19,20,21,18,20,21,29
NextCareUrgentCare-Longmont,18,0,14,16,23,27,16,22,22,25,18,20,22,31,32,28,29,32,34,33
AdvancedUrgentCare-Lafayette,9,14,0,3,9,13,2,8,9,11,5,6,8,17,18,13,14,19,20,18
AFCUrgentCare-Louisville,7,16,3,0,9,13,3,9,9,11,8,7,9,15,16,13,14,20,15,23
AdvancedUrgentCare-Westminister,13,23,9,9,0,6,8,5,5,3,12,9,9,8,8,15,10,9,8,25
ZipClinicUrgentCare-Westminister,17,27,13,13,6,0,12,7,7,3,16,10,10,7,7,15,12,10,7,22
Clinica-Lafayette,9,16,2,3,8,12,0,7,8,12,6,5,7,17,17,13,12,17,17,18
LittleClinic-Broomfield,13,22,8,9,5,7,7,0,1,5,8,4,4,8,8,8,5,9,7,23
NextCareUrgentCare-Broomfield,13,22,9,9,5,7,8,1,0,5,8,5,4,7,8,8,5,8,7,17
RockyMountainUrgentCare-Westminister,15,25,11,11,3,3,12,5,5,0,12,8,8,5,5,13,10,8,5,23
LittleClinic-Erie,12,18,5,8,12,16,6,8,8,12,0,6,6,12,12,8,10,13,12,14
AdvancedUrgentCare-Broomfield,15,20,6,7,9,10,5,4,5,8,6,0,3,10,10,10,8,11,10,17
LittleClinic2-Broomfield,16,22,8,9,9,10,7,4,4,8,6,3,0,8,8,5,6,8,7,16
NextCareUrgentCare-Thornton,19,31,17,15,8,7,17,8,7,5,12,10,8,0,1,7,4,3,1,16
Community1-Thornton,20,32,18,16,8,7,17,8,8,5,12,10,8,1,0,9,5,4,1,17
LittleClinic-Thornton,21,28,13,13,15,15,13,8,8,13,8,10,5,7,9,0,3,4,8,11
AFCUrgentCare-Thornton,18,29,14,14,10,12,12,5,5,10,10,8,6,4,5,3,0,3,5,13
Community2-Thornton,20,32,19,20,9,10,17,9,8,8,13,11,8,3,4,4,3,0,3,13
ThorntonFire-Thornton,21,34,20,15,8,7,17,7,7,5,12,10,7,1,1,8,5,3,0,18
AdvancedUrgentCare-Brighton,29,33,18,23,25,22,18,23,17,23,14,17,16,16,17,11,13,13,18,0
